t1,t0,S0,S1,F,K,r_diff,FX_EWI,sigma,IZ,P_breach,LossAlert,h,eff_P0,eff_P1,eff_P2,cancelled,unwind_P1,unwind_P2,pnl_P0,pnl_P1,pnl_P2,cost_P1,cost_P2
2020-09-30,2020-07-05,1198.5,1163.780029296875,1200.446881091618,1195.1507931663878,0.006500000000000001,28.711608705359186,0.06776440316765069,1,0.32808306655822117,0.0941979262987396,0.0,1163.780029296875,1198.446881091618,1163.780029296875,0,0.0,0.0,-15685381.934756378,1648043.9626151337,-15685381.934756378,1000000.0,0.0
2020-10-30,2020-08-03,1191.760009765625,1129.52001953125,1193.4876298747577,1195.320316859654,0.0058000000000000005,62.3900469069084,0.060661328137422504,1,0.3760832508178282,0.234638516594269,0.5,1129.52001953125,1191.4876298747577,1160.5038247030038,0,0.0,0.0,-32900148.664201993,-1916343.4924481635,-17408246.078325078,1000000.0,500000.0
2020-11-30,2020-09-01,1184.9200439453125,1104.3299560546875,1186.430363905355,1193.9463878813244,0.0051,70.17010526636173,0.0568003140642965,0,0.6000107000186196,0.4210281398124992,1.0,1104.3299560546875,1184.430363905355,1184.430363905355,0,0.0,0.0,-44808215.91331846,-4758011.987984673,-4758011.987984673,1000000.0,1000000.0
2020-12-31,2020-10-04,1165.3599853515625,1086.4200439453125,1166.932867433319,1192.3189668201264,0.0054,49.22983801383345,0.055388300879788,0,0.7767441534147443,0.3823898885080006,1.0,1086.4200439453125,1164.932867433319,1164.932867433319,0,0.0,0.0,-52949461.437406965,-13693049.693403736,-13693049.693403736,1000000.0,1000000.0
2021-01-29,2020-11-03,1132.1400146484375,1112.2900390625,1133.7246145189774,1190.14357164171,0.0056,61.424871228866664,0.06442756437316759,0,0.9092034764706848,0.5584770646304972,1.0,1112.2900390625,1131.7246145189774,1131.7246145189774,0,0.0,0.0,-38926766.289604984,-29209478.561366268,-29209478.561366268,1000000.0,1000000.0
2021-02-26,2020-12-01,1108.510009765625,1119.1300048828125,1110.0892811934698,1184.974603077722,0.0057,19.28005633920936,0.056229115130702466,1,0.6776885638073511,0.13065873690643606,0.0,1119.1300048828125,1108.0892811934698,1119.1300048828125,0,0.0,0.0,-32922299.097454697,-38442660.94212605,-32922299.097454697,1000000.0,0.0
2021-03-31,2021-01-04,1084.72998046875,1127.199951171875,1086.3295972761598,1178.5305156405009,0.005900000000000001,28.11520056910875,0.05905700780344691,0,0.9811975013363764,0.27586564547980574,0.5,1127.199951171875,1084.3295972761598,1105.7647742240174,0,0.0,0.0,-25665282.23431294,-47100459.18217054,-36382870.70824174,1000000.0,500000.0
2021-04-29,2021-02-02,1116.8800048828125,1106.6300048828125,1118.7225344481951,1172.0906749906994,0.0066,78.41274570515317,0.05899882588284912,0,0.9185772870185118,0.7202816721751207,1.0,1106.6300048828125,1116.7225344481951,1116.7225344481951,0,0.0,0.0,-32730335.053943463,-27684070.27125215,-27684070.27125215,1000000.0,1000000.0
2021-05-31,2021-03-04,1129.5,1106.97998046875,1131.5046620337966,1164.4503556508866,0.0070999999999999995,97.10202859974075,0.1236972063161928,0,0.6784587782726934,0.6587972369158025,1.0,1106.97998046875,1129.5046620337966,1129.5046620337966,0,0.0,0.0,-28735187.591068324,-17472846.808545,-17472846.808545,1000000.0,1000000.0
2021-06-30,2021-04-04,1128.7900390625,1129.5999755859375,1130.8217595467881,1155.9788866799975,0.007200000000000001,14.364648903852869,0.08538657207464623,0,0.6993868799163376,0.10046446977959297,0.0,1129.5999755859375,1128.8217595467881,1129.5999755859375,0,0.0,0.0,-13189455.54702998,-13578563.566604657,-13189455.54702998,1000000.0,0.0
2021-07-29,2021-05-03,1120.4000244140625,1142.1199951171875,1122.1924852070458,1147.0905136835008,0.0064,57.00074784740209,0.06859187922012021,0,0.738524098816906,0.4209642593589232,1.0,1142.1199951171875,1120.1924852070458,1120.1924852070458,0,0.0,0.0,-2485259.2831566655,-13449014.238227505,-13449014.238227505,1000000.0,1000000.0
2021-08-31,2021-06-03,1115.43994140625,1158.4100341796875,1117.2245560817662,1138.0909104120165,0.0064,64.16074278568755,0.07025264315103585,0,0.7040602816613686,0.45173030637293793,1.0,1158.4100341796875,1115.2245560817662,1115.2245560817662,0,0.0,0.0,10159561.883835522,-11433177.16512513,-11433177.16512513,1000000.0,1000000.0
2021-09-30,2021-07-05,1129.43994140625,1183.719970703125,1131.2468194527444,1131.3487282404824,0.0063999999999999994,15.930066131775778,0.06435951206358491,0,0.5199085484135904,0.08282177558704043,0.0,1183.719970703125,1129.2468194527444,1183.719970703125,0,0.0,0.0,26185621.231321305,-1050954.3938690058,26185621.231321305,1000000.0,0.0
2021-10-28,2021-08-02,1149.56005859375,1167.3699951171875,1151.629008080533,1127.719958592975,0.0072,77.70519267112422,0.06653252676049608,1,0.20621704297983254,0.16024135056817393,0.5,1167.3699951171875,1149.629008080533,1158.4995015988602,0,0.0,0.0,19825018.262106255,10954524.74377896,15389771.502942609,1000000.0,500000.0
2021-11-30,2021-09-01,1155.280029296875,1190.739990234375,1157.965719653696,1125.4701571994358,0.0093,72.88698227987992,0.07521561419792916,1,0.18128376724567194,0.13213226730865166,0.0,1190.739990234375,1155.965719653696,1190.739990234375,0,0.0,0.0,32634916.517469604,15247781.227130076,32634916.517469604,1000000.0,0.0
2021-12-31,2021-10-04,1183.780029296875,1189.8900146484375,1186.8575496210144,1126.6504749116443,0.010400000000000001,46.9566050783099,0.06743720669404975,0,0.10115179171823423,0.047497447366765824,0.0,1189.8900146484375,1184.8575496210144,1189.8900146484375,0,0.0,0.0,31619769.868396588,29103537.354685046,31619769.868396588,1000000.0,0.0
2022-01-31,2021-11-03,1178.0400390625,1207.7099609375,1181.3381389093943,1131.1280551486545,0.011199999999999998,55.09720954055626,0.067431708061123,0,0.14101227068138908,0.07769382625522132,0.0,1207.7099609375,1179.3381389093943,1207.7099609375,0,0.0,0.0,38290952.89442273,24105041.880369868,38290952.89442273,1000000.0,0.0
2022-02-28,2021-12-01,1182.8599853515625,1197.5899658203125,1186.4376001650287,1137.9307139563182,0.0121,79.9114802552992,0.08350889773994219,0,0.19813669231955672,0.15833396376144548,0.5,1197.5899658203125,1184.4376001650287,1191.0137829926707,0,0.0,0.0,29829625.931997158,23253443.104355257,26541534.51817626,1000000.0,500000.0
2022-03-31,2022-01-04,1194.6800537109375,1214.5,1198.5918485278773,1146.5482550726997,0.013099999999999999,41.959529373186975,0.0571350164616073,1,0.07334297693669599,0.030774367950922702,0.0,1214.5,1196.5918485278773,1214.5,0,0.0,0.0,33975872.463650145,25021796.72758882,33975872.463650145,1000000.0,0.0
2022-04-28,2022-02-01,1205.1199951171875,1272.2900390625,1209.0346777599968,1153.4976603190105,0.013,57.52549157681837,0.05536533083985225,1,0.06111163070694449,0.0351547659747797,0.0,1272.2900390625,1207.0346777599968,1272.2900390625,0,0.0,0.0,59396189.37174475,26768508.720493175,59396189.37174475,1000000.0,0.0
2022-05-31,2022-03-04,1205.989990234375,1241.739990234375,1209.514603150155,1160.7186129131014,0.011699999999999999,76.34049803961359,0.06015772860759745,1,0.090757957732729,0.06928507694374732,0.0,1241.739990234375,1207.514603150155,1241.739990234375,0,0.0,0.0,40510688.66063679,23397995.11852675,40510688.66063679,1000000.0,0.0
2022-06-30,2022-04-04,1213.9000244140625,1287.7099609375,1216.838809508234,1169.1763523646764,0.009699999999999997,57.71604441405598,0.09274002666508772,0,0.22749164057318544,0.1312991763114843,0.0,1287.7099609375,1214.838809508234,1287.7099609375,0,0.0,0.0,59266804.2864118,22831228.571778752,59266804.2864118,1000000.0,0.0
2022-07-31,2022-05-03,1261.06005859375,1302.280029296875,1263.7967067628108,1179.4955187600756,0.0087,50.64937013127834,0.08530872741855734,0,0.08887743560411715,0.04501586132231785,0.0,1302.280029296875,1261.7967067628108,1302.280029296875,0,0.0,0.0,61392255.26839971,41150594.001367606,61392255.26839971,1000000.0,0.0
2022-08-31,2022-06-05,1250.530029296875,1342.260009765625,1253.0861392353634,1192.7540893554688,0.008200000000000002,48.862032778629874,0.10808566364843333,1,0.14751504626042242,0.07207885025717863,0.0,1342.260009765625,1251.0861392353634,1342.260009765625,0,0.0,0.0,74752960.20507812,29166024.939947307,74752960.20507812,1000000.0,0.0
2022-09-29,2022-07-04,1295.6800537109375,1430.1700439453125,1298.099413468651,1205.2030581519716,0.0075,52.40144609564157,0.10495841404513694,1,0.07920041718605209,0.04150216391927233,0.0,1430.1700439453125,1296.099413468651,1430.1700439453125,0,0.0,0.0,112483492.89667045,45448177.65833966,112483492.89667045,1000000.0,0.0
2022-10-31,2022-08-02,1314.6300048828125,1421.6500244140625,1315.6425652622443,1218.3730972532242,0.003100000000000002,28.232296717077404,0.09259454247354323,0,0.08071434080976114,0.022787512190644864,0.0,1421.6500244140625,1313.6425652622443,1421.6500244140625,0,0.0,0.0,101638463.58041917,47634734.00451005,101638463.58041917,1000000.0,0.0
