,Open,High,Low,Close,V,J,C,IZ,score,FX_EWI,grade,sigma_hat,RV_fwd,Y
2018-01-02,1065.3499755859375,1067.530029296875,1058.6500244140625,1065.219970703125,,0.0,,0,,,,0.06389845492662265,0.014396478969252967,
2018-01-03,1062.0699462890625,1072.75,1061.449951171875,1062.5400390625,,0.0,,0,,,,0.06202943660357345,0.014187185976478998,
2018-01-04,1065.050048828125,1068.219970703125,1060.1600341796875,1063.93994140625,,0.0,,0,,,,0.06093221797272366,0.014641645817718043,
2018-01-05,1062.550048828125,1064.3800048828125,1058.6500244140625,1061.0799560546875,,0.0,,0,,,,0.05929740422979068,0.01468736960188729,
2018-01-08,1060.449951171875,1069.6099853515625,1057.800048828125,1060.5,,0.0,,0,,,,0.05843596160017463,0.015004699618495876,
2018-01-09,1068.5999755859375,1072.0799560546875,1063.5,1067.68994140625,,0.0,,0,,,,0.056695637720289106,0.013592364752398922,
2018-01-10,1072.1500244140625,1072.4200439453125,1064.824951171875,1071.739990234375,,0.0,,0,,,,0.060924896150869406,0.01356559369841617,
2018-01-11,1070.1500244140625,1073.260009765625,1061.7349853515625,1069.6700439453125,,0.0,,0,,,,0.06087586928894967,0.015540105918474049,
2018-01-12,1065.6500244140625,1066.199951171875,1059.719970703125,1065.1400146484375,,0.0,,0,,,,0.059498150011431966,0.014956450795760943,
2018-01-15,1055.81005859375,1064.5999755859375,1055.800048828125,1055.800048828125,,0.0,,1,,,,0.059999656489232674,0.0122008427812039,
2018-01-16,1062.699951171875,1067.1199951171875,1060.8599853515625,1061.8199462890625,,0.0,,0,,,,0.06750433147057502,0.01247137925457308,
2018-01-17,1064.199951171875,1070.3499755859375,1061.9100341796875,1062.4599609375,,0.0,,0,,,,0.06908100572300202,0.01271861768026846,
2018-01-18,1068.800048828125,1071.760009765625,1065.5799560546875,1066.56005859375,,0.0,,0,,,,0.06701749157967422,0.012559251006420347,
2018-01-19,1070.199951171875,1070.5999755859375,1062.9000244140625,1069.68994140625,,0.0,,0,,,,0.06667960692653285,0.012378321443709242,
2018-01-22,1066.0799560546875,1072.239990234375,1065.5799560546875,1066.3599853515625,,0.0,,0,,,,0.06564469968951281,0.021146316415678327,
2018-01-23,1068.449951171875,1077.530029296875,1065.9000244140625,1068.81005859375,,0.0,,0,,,,0.06478931903338024,0.021236357286181128,
2018-01-24,1072.800048828125,1072.800048828125,1060.81494140625,1072.760009765625,,0.0,,0,,,,0.06344629037162187,0.024585208939441917,
2018-01-25,1064.199951171875,1065.3599853515625,1055.2099609375,1064.4000244140625,,0.0,,0,,,,0.06316369188005744,0.0251201042494288,
2018-01-26,1065.6500244140625,1066.52001953125,1058.0,1064.8900146484375,,0.0,,0,,,,0.06837926056234946,0.02579818607808383,
2018-01-29,1062.800048828125,1072.6700439453125,1062.0999755859375,1063.1300048828125,,0.0,,0,,,,0.06632030295485473,0.028257275789751433,
2018-01-30,1070.3499755859375,1074.8499755859375,1066.8299560546875,1069.7900390625,,0.0,,0,,,,0.06462081803845895,0.027563398597126126,
2018-01-31,1071.699951171875,1073.739990234375,1063.4300537109375,1072.5400390625,,0.0,,0,,,,0.06719361423811382,0.027464464919289368,
2018-02-01,1068.72998046875,1073.8599853515625,1067.1500244140625,1069.02001953125,,0.0,,0,,,,0.06590704980314212,0.030112460526224547,
2018-02-02,1070.449951171875,1089.5899658203125,1069.699951171875,1071.1800537109375,,0.0,,0,,,,0.0651652603158362,0.030741311179246337,
2018-02-05,1090.1500244140625,1091.1300048828125,1084.02001953125,1090.010009765625,,0.18465125258471218,,1,,,,0.06366574200214956,0.025439116349953862,
2018-02-06,1097.1500244140625,1098.489990234375,1081.3199462890625,1093.300048828125,,0.15117965908547407,,1,,,,0.09165992072487902,0.025280261358116854,
2018-02-07,1081.5999755859375,1087.0999755859375,1078.4200439453125,1079.260009765625,,0.12377543613312275,,0,,,,0.08963695883545254,0.0223996299933751,
2018-02-08,1089.199951171875,1095.1700439453125,1084.6400146484375,1089.4200439453125,,0.10133875603782722,,0,,,,0.10039223981019994,0.020460153600545816,
2018-02-09,1097.8499755859375,1097.8499755859375,1083.68994140625,1095.8599853515625,,0.08296915604683616,,1,,,,0.10392946486426852,0.020182915460210435,
2018-02-12,1083.25,1086.1800537109375,1081.050048828125,1083.1700439453125,,0.06792939961247077,,0,,,,0.10333683310309626,0.017143872550354967,
2018-02-13,1081.3499755859375,1086.699951171875,1078.8499755859375,1082.6099853515625,,0.05561588850085336,,0,,,,0.10995008515642006,0.017834598683314988,
2018-02-14,1084.699951171875,1085.1500244140625,1074.655029296875,1083.77001953125,,0.04553443827540474,,0,,,,0.10661953064311358,0.01995616054777176,
2018-02-15,1069.97998046875,1072.4200439453125,1063.1300048828125,1070.010009765625,,0.037280444940205,,0,,,,0.10345531526138414,0.01628799702524435,
2018-02-16,1063.0999755859375,1067.2900390625,1060.5150146484375,1063.0699462890625,,0.030522646760976282,,0,,,,0.11193509596935944,0.01525781014984935,
2018-02-19,1065.800048828125,1069.1600341796875,1064.5999755859375,1065.6300048828125,,0.024989829568547332,,0,,,,0.11143569963028636,0.015278907319851064,
2018-02-20,1067.550048828125,1074.9300537109375,1065.739990234375,1066.7099609375,,0.02045994198194718,,0,,,,0.10844498639347042,0.015427731199547651,
2018-02-21,1072.3499755859375,1077.199951171875,1070.0450439453125,1072.5400390625,,0.016751183706811428,,0,,,,0.10521506411786023,0.019170840102075305,
2018-02-22,1076.18994140625,1085.760009765625,1074.8599853515625,1074.8599853515625,,0.013714709251225343,,0,,,,0.10418827660636273,0.01925460103757464,
2018-02-23,1081.260009765625,1081.260009765625,1074.2249755859375,1080.0799560546875,,0.011228654233501289,,0,,,,0.1013630849132572,0.019848390668290545,
2018-02-26,1077.0,1077.010009765625,1068.074951171875,1075.0,,0.009193244536646779,,0,,,,0.10006440247481432,0.021195615986711918,
2018-02-27,1070.219970703125,1078.8499755859375,1068.010009765625,1069.699951171875,,0.00752679202271886,,0,,,,0.09873278886334906,0.020612084328730174,
2018-02-28,1079.449951171875,1084.0899658203125,1074.64501953125,1079.3900146484375,,0.006162416101021958,,0,,,,0.09763516564752978,0.018687497789925452,
2018-03-01,1085.25,1087.739990234375,1079.60498046875,1085.3499755859375,,0.00504535957516959,,0,,,,0.1009468275536389,0.01822040455128193,
2018-03-02,1081.9100341796875,1085.3199462890625,1075.6500244140625,1081.949951171875,,0.004130791044527803,,0,,,,0.10018629383516461,0.01886764708539341,
2018-03-05,1078.9000244140625,1083.0799560546875,1075.6650390625,1079.2099609375,,0.0,,0,,,,0.09789740717718912,0.018746253750110076,
2018-03-06,1074.8499755859375,1078.0,1059.489990234375,1076.6600341796875,,0.0,,0,,,,0.09542580314780746,0.018685295759796206,
2018-03-07,1064.3499755859375,1070.5699462890625,1063.1600341796875,1063.1600341796875,,0.0,,0,,,,0.0929748838223571,0.01386302093882316,
2018-03-08,1067.0999755859375,1075.449951171875,1065.8499755859375,1066.1500244140625,,0.0,,0,,,,0.1026304203373936,0.01491390547855567,
2018-03-09,1071.8699951171875,1073.4599609375,1063.739990234375,1073.4599609375,,0.0,,0,,,,0.10010133514260865,0.019921666221749075,
2018-03-12,1064.3299560546875,1067.4200439453125,1062.260009765625,1064.050048828125,,0.0,,0,,,,0.10062310548370358,0.018035199768076222,
2018-03-13,1063.8299560546875,1067.5699462890625,1060.8299560546875,1063.8599853515625,,0.0,,0,,,,0.10339066285416362,0.01958258589830455,
2018-03-14,1066.06005859375,1068.68994140625,1060.239990234375,1066.4000244140625,,0.0,,0,,,,0.10024337345363053,0.019437563128275808,
2018-03-15,1063.030029296875,1067.8499755859375,1061.6300048828125,1062.550048828125,,0.0,,0,,,,0.09763091666048511,0.021567506404701037,
2018-03-16,1068.8399658203125,1071.56005859375,1063.780029296875,1068.75,,0.0,,0,,,,0.09569574247175962,0.020810298326249383,
2018-03-19,1070.0999755859375,1074.300048828125,1068.31494140625,1070.2099609375,,0.0,,0,,,,0.09549877565270617,0.02078726365047981,
2018-03-20,1072.1400146484375,1073.030029296875,1066.949951171875,1072.1600341796875,,0.0,,0,,,,0.09274153230375295,0.021204113762412432,
2018-03-21,1070.77001953125,1072.8299560546875,1069.4100341796875,1070.550048828125,,0.0,,0,,,,0.09019446969873124,0.021275860209828027,
2018-03-22,1064.1400146484375,1080.469970703125,1063.8800048828125,1063.9599609375,,0.0,,0,,,,0.08764179920537656,0.02065963752720471,
2018-03-23,1080.5,1083.52001953125,1075.094970703125,1079.9000244140625,,0.0,,0,,,,0.08829904604605415,0.014881890605510987,
2018-03-25,1082.8699951171875,1082.8800048828125,1074.56494140625,1082.530029296875,,0.0,,0,,,,0.10330790797320324,0.016852451847085587,
2018-03-26,1074.3299560546875,1075.72998046875,1067.1300048828125,1074.300048828125,,0.0,,0,,,,0.10060633653160779,0.015108283628739791,
2018-03-27,1073.3499755859375,1074.52001953125,1061.9649658203125,1074.1199951171875,,0.0,,0,,,,0.10195559359242759,0.015930938748142574,
2018-03-28,1062.949951171875,1067.7099609375,1060.449951171875,1063.4100341796875,,0.0,,0,,,,0.09885176414251905,0.01258298098834892,
2018-03-29,1062.02001953125,1065.5400390625,1060.2900390625,1062.0,,0.0,,0,,,,0.10345876323009325,0.01312485130396604,
