,Open,High,Low,Close
2018-01-01,1066.050048828125,1070.510009765625,1065.010009765625,1066.0699462890625
2018-01-02,1065.3499755859375,1067.530029296875,1058.6500244140625,1065.219970703125
2018-01-03,1062.0699462890625,1072.75,1061.449951171875,1062.5400390625
2018-01-04,1065.050048828125,1068.219970703125,1060.1600341796875,1063.93994140625
2018-01-05,1062.550048828125,1064.3800048828125,1058.6500244140625,1061.0799560546875
2018-01-08,1060.449951171875,1069.6099853515625,1057.800048828125,1060.5
2018-01-09,1068.5999755859375,1072.0799560546875,1063.5,1067.68994140625
2018-01-10,1072.1500244140625,1072.4200439453125,1064.824951171875,1071.739990234375
2018-01-11,1070.1500244140625,1073.260009765625,1061.7349853515625,1069.6700439453125
2018-01-12,1065.6500244140625,1066.199951171875,1059.719970703125,1065.1400146484375
2018-01-15,1055.81005859375,1064.5999755859375,1055.81005859375,1055.800048828125
2018-01-16,1062.699951171875,1067.1199951171875,1060.8599853515625,1061.8199462890625
2018-01-17,1064.199951171875,1070.3499755859375,1061.9100341796875,1062.4599609375
2018-01-18,1068.800048828125,1071.760009765625,1065.5799560546875,1066.56005859375
2018-01-19,1070.199951171875,1070.5999755859375,1062.9000244140625,1069.68994140625
2018-01-22,1066.0799560546875,1072.239990234375,1065.5799560546875,1066.3599853515625
2018-01-23,1068.449951171875,1077.530029296875,1065.9000244140625,1068.81005859375
2018-01-24,1072.800048828125,1072.800048828125,1060.81494140625,1072.760009765625
2018-01-25,1064.199951171875,1065.3599853515625,1055.2099609375,1064.4000244140625
2018-01-26,1065.6500244140625,1066.52001953125,1058.0,1064.8900146484375
2018-01-29,1062.800048828125,1072.6700439453125,1062.0999755859375,1063.1300048828125
2018-01-30,1070.3499755859375,1074.8499755859375,1066.8299560546875,1069.7900390625
2018-01-31,1071.699951171875,1073.739990234375,1063.4300537109375,1072.5400390625
2018-02-01,1068.72998046875,1073.8599853515625,1067.1500244140625,1069.02001953125
2018-02-02,1070.449951171875,1089.5899658203125,1069.699951171875,1071.1800537109375
2018-02-05,1090.1500244140625,1091.1300048828125,1084.02001953125,1090.010009765625
2018-02-06,1097.1500244140625,1098.489990234375,1081.3199462890625,1093.300048828125
2018-02-07,1081.5999755859375,1087.0999755859375,1078.4200439453125,1079.260009765625
2018-02-08,1089.199951171875,1095.1700439453125,1084.6400146484375,1089.4200439453125
2018-02-09,1097.8499755859375,1097.8499755859375,1083.68994140625,1095.8599853515625
2018-02-12,1083.25,1086.1800537109375,1081.050048828125,1083.1700439453125
2018-02-13,1081.3499755859375,1086.699951171875,1078.8499755859375,1082.6099853515625
2018-02-14,1084.699951171875,1085.1500244140625,1074.655029296875,1083.77001953125
2018-02-15,1069.97998046875,1072.4200439453125,1063.1300048828125,1070.010009765625
2018-02-16,1063.0999755859375,1067.2900390625,1060.5150146484375,1063.0699462890625
2018-02-19,1065.800048828125,1069.1600341796875,1064.5999755859375,1065.6300048828125
2018-02-20,1067.550048828125,1074.9300537109375,1065.739990234375,1066.7099609375
2018-02-21,1072.3499755859375,1077.199951171875,1070.0450439453125,1072.5400390625
2018-02-22,1076.18994140625,1085.760009765625,1076.18994140625,1074.8599853515625
2018-02-23,1081.260009765625,1081.260009765625,1074.2249755859375,1080.0799560546875
2018-02-26,1077.0,1077.010009765625,1068.074951171875,1075.0
2018-02-27,1070.219970703125,1078.8499755859375,1068.010009765625,1069.699951171875
2018-02-28,1079.449951171875,1084.0899658203125,1074.64501953125,1079.3900146484375
2018-03-01,1085.25,1087.739990234375,1079.60498046875,1085.3499755859375
2018-03-02,1081.9100341796875,1085.3199462890625,1075.6500244140625,1081.949951171875
2018-03-05,1078.9000244140625,1083.0799560546875,1075.6650390625,1079.2099609375
2018-03-06,1074.8499755859375,1078.0,1059.489990234375,1076.6600341796875
2018-03-07,1064.3499755859375,1070.5699462890625,1063.93994140625,1063.1600341796875
2018-03-08,1067.0999755859375,1075.449951171875,1065.8499755859375,1066.1500244140625
2018-03-09,1071.8699951171875,1071.8699951171875,1063.739990234375,1073.4599609375
2018-03-12,1064.3299560546875,1067.4200439453125,1062.260009765625,1064.050048828125
2018-03-13,1063.8299560546875,1067.5699462890625,1060.8299560546875,1063.8599853515625
2018-03-14,1066.06005859375,1068.68994140625,1060.239990234375,1066.4000244140625
2018-03-15,1063.030029296875,1067.8499755859375,1061.6300048828125,1062.550048828125
2018-03-16,1068.8399658203125,1071.56005859375,1063.780029296875,1068.75
2018-03-19,1070.0999755859375,1074.300048828125,1068.31494140625,1070.2099609375
2018-03-20,1072.1400146484375,1073.030029296875,1066.949951171875,1072.1600341796875
2018-03-21,1070.77001953125,1072.8299560546875,1069.4100341796875,1070.550048828125
2018-03-22,1064.1400146484375,1080.469970703125,1063.8800048828125,1063.9599609375
2018-03-23,1080.5,1083.52001953125,1075.094970703125,1079.9000244140625
2018-03-25,1082.8699951171875,1082.8800048828125,1074.56494140625,1082.530029296875
2018-03-26,1074.3299560546875,1075.72998046875,1067.1300048828125,1074.300048828125
2018-03-27,1073.3499755859375,1074.52001953125,1061.9649658203125,1074.1199951171875
2018-03-28,1062.949951171875,1067.7099609375,1060.449951171875,1063.4100341796875
2018-03-29,1062.02001953125,1065.5400390625,1060.2900390625,1062.0
2018-04-01,1060.550048828125,1062.06005859375,1052.0,1060.989990234375
2018-04-02,1056.22998046875,1058.8499755859375,1052.8199462890625,1056.1600341796875
2018-04-03,1053.760009765625,1065.719970703125,1053.6500244140625,1053.72998046875
2018-04-04,1057.3699951171875,1063.300048828125,1055.5,1057.4300537109375
2018-04-05,1061.68994140625,1071.1800537109375,1061.68994140625,1061.6400146484375
2018-04-08,1069.6300048828125,1071.31005859375,1064.22998046875,1070.4599609375
2018-04-09,1069.68994140625,1071.739990234375,1063.030029296875,1068.77001953125
2018-04-10,1063.8299560546875,1069.6800537109375,1063.22998046875,1063.3800048828125
2018-04-11,1066.1199951171875,1072.5799560546875,1064.3599853515625,1065.75
2018-04-12,1069.9300537109375,1071.4200439453125,1067.0250244140625,1069.97998046875
2018-04-15,1070.5699462890625,1075.0899658203125,1070.1600341796875,1070.6600341796875
2018-04-16,1068.4599609375,1069.8399658203125,1065.074951171875,1069.52001953125
2018-04-17,1066.199951171875,1068.489990234375,1062.5999755859375,1066.0899658203125
2018-04-18,1064.969970703125,1066.9200439453125,1058.1500244140625,1064.0699462890625
2018-04-19,1065.280029296875,1073.22998046875,1063.800048828125,1066.239990234375
2018-04-22,1069.949951171875,1079.52001953125,1066.25,1071.4100341796875
2018-04-23,1080.260009765625,1080.260009765625,1073.949951171875,1080.1800537109375
2018-04-24,1076.8499755859375,1084.050048828125,1074.0,1076.75
2018-04-25,1080.5999755859375,1081.1199951171875,1074.6500244140625,1081.1700439453125
2018-04-26,1076.8299560546875,1078.68994140625,1065.969970703125,1076.7900390625
2018-04-29,1066.93994140625,1070.22998046875,1064.77001953125,1067.5999755859375
2018-04-30,1069.4100341796875,1073.1199951171875,1068.3599853515625,1069.449951171875
2018-05-01,1072.260009765625,1078.1300048828125,1071.5999755859375,1072.52001953125
2018-05-02,1078.8699951171875,1079.9100341796875,1071.844970703125,1078.81005859375
2018-05-03,1074.3499755859375,1078.6600341796875,1073.4599609375,1074.1199951171875
2018-05-06,1073.18994140625,1082.800048828125,1072.1199951171875,1073.3299560546875
2018-05-07,1078.300048828125,1081.1300048828125,1073.9000244140625,1078.3900146484375
2018-05-08,1078.4300537109375,1083.3199462890625,1074.8499755859375,1077.56005859375
2018-05-09,1077.8299560546875,1080.43994140625,1064.7149658203125,1077.97998046875
2018-05-10,1065.949951171875,1070.77001953125,1064.0050048828125,1064.3699951171875
2018-05-13,1066.81005859375,1070.010009765625,1063.9599609375,1065.949951171875
2018-05-14,1069.300048828125,1078.6099853515625,1067.9000244140625,1069.1600341796875
2018-05-15,1079.4100341796875,1083.1800537109375,1075.43994140625,1078.8599853515625
2018-05-16,1076.9300537109375,1083.4100341796875,1076.4000244140625,1076.489990234375
2018-05-17,1081.0699462890625,1085.77001953125,1075.75,1080.9100341796875
2018-05-20,1079.93994140625,1087.27001953125,1078.9449462890625,1080.510009765625
2018-05-21,1076.6600341796875,1079.469970703125,1072.3399658203125,1076.510009765625
2018-05-22,1076.4000244140625,1082.8900146484375,1075.719970703125,1074.199951171875
2018-05-23,1075.2099609375,1085.219970703125,1075.2099609375,1074.7900390625
2018-05-24,1079.199951171875,1081.8699951171875,1074.489990234375,1079.22998046875
2018-05-27,1073.7900390625,1074.9200439453125,1070.530029296875,1073.6500244140625
2018-05-28,1073.949951171875,1083.800048828125,1072.75,1073.1700439453125
2018-05-29,1082.75,1083.0400390625,1077.3050537109375,1083.9300537109375
2018-05-30,1075.739990234375,1081.550048828125,1073.1700439453125,1075.030029296875
2018-05-31,1078.3499755859375,1079.1800537109375,1070.9100341796875,1079.949951171875
2018-06-03,1070.8399658203125,1071.969970703125,1067.0,1070.3599853515625
2018-06-04,1069.969970703125,1072.7900390625,1066.780029296875,1070.530029296875
2018-06-05,1070.300048828125,1071.0400390625,1064.719970703125,1070.2900390625
2018-06-06,1067.2099609375,1071.300048828125,1064.75,1065.1500244140625
2018-06-07,1071.969970703125,1077.699951171875,1069.6099853515625,1071.3299560546875
2018-06-10,1072.699951171875,1076.1400146484375,1070.9100341796875,1072.6500244140625
2018-06-11,1076.3299560546875,1079.219970703125,1071.8599853515625,1076.3800048828125
2018-06-12,1079.25,1087.010009765625,1079.1600341796875,1079.25
