,Open,High,Low,Close
2018-01-01,1279.1400146484375,1279.1400146484375,1279.1400146484375,1279.1400146484375
2018-01-02,1246.3338623046875,1281.469970703125,1246.3338623046875,1279.1400146484375
2018-01-03,1280.4599609375,1284.52001953125,1276.25,1281.3800048828125
2018-01-04,1277.969970703125,1284.9100341796875,1275.4200439453125,1277.4100341796875
2018-01-05,1280.8699951171875,1283.5,1275.510009765625,1280.3499755859375
2018-01-08,1250.9034423828125,1280.9300537109375,1250.9034423828125,1276.239990234375
2018-01-09,1278.050048828125,1278.050048828125,1272.3199462890625,1277.5400390625
2018-01-10,1277.239990234375,1282.27001953125,1273.949951171875,1278.3299560546875
2018-01-11,1277.97998046875,1283.469970703125,1273.780029296875,1278.75
2018-01-12,1281.8199462890625,1290.780029296875,1279.1400146484375,1282.0899658203125
2018-01-15,1290.3199462890625,1305.9200439453125,1290.3199462890625,1258.94580078125
2018-01-16,1303.4100341796875,1305.469970703125,1297.699951171875,1302.3900146484375
2018-01-17,1303.9100341796875,1308.9000244140625,1301.6500244140625,1303.3399658203125
2018-01-18,1300.949951171875,1309.5799560546875,1300.4100341796875,1299.4599609375
2018-01-19,1307.989990234375,1309.3199462890625,1302.1199951171875,1308.510009765625
2018-01-22,1309.02001953125,1311.300048828125,1305.949951171875,1278.1806640625
2018-01-23,1307.97998046875,1319.68994140625,1307.6099853515625,1309.72998046875
2018-01-24,1318.699951171875,1320.7900390625,1312.4000244140625,1320.469970703125
2018-01-25,1319.3499755859375,1326.3699951171875,1312.1400146484375,1318.72998046875
2018-01-26,1318.81005859375,1326.030029296875,1318.81005859375,1319.3900146484375
2018-01-29,1320.9300537109375,1326.1500244140625,1320.800048828125,1320.9300537109375
2018-01-30,1323.699951171875,1331.6600341796875,1322.3900146484375,1324.219970703125
2018-01-31,1329.9200439453125,1330.8800048828125,1324.2900390625,1330.7900390625
2018-02-01,1326.239990234375,1335.93994140625,1325.7099609375,1327.3499755859375
2018-02-02,1338.3399658203125,1355.5799560546875,1338.3399658203125,1340.0699462890625
2018-02-05,1356.75,1357.530029296875,1345.9300537109375,1356.75
2018-02-06,1355.6099853515625,1357.68994140625,1335.489990234375,1351.8800048828125
2018-02-07,1337.8800048828125,1345.0,1327.6600341796875,1335.9300537109375
2018-02-08,1335.02001953125,1340.06005859375,1329.739990234375,1336.1700439453125
2018-02-09,1343.8499755859375,1343.8499755859375,1326.8599853515625,1343.31005859375
2018-02-12,1326.8199462890625,1332.1400146484375,1325.8499755859375,1326.8199462890625
2018-02-13,1328.6099853515625,1339.5699462890625,1327.3800048828125,1331.780029296875
2018-02-14,1337.4599609375,1338.72998046875,1325.9000244140625,1338.6400146484375
2018-02-15,1333.31005859375,1338.3599853515625,1326.989990234375,1333.8800048828125
2018-02-16,1328.22998046875,1333.7900390625,1324.02001953125,1329.0999755859375
2018-02-19,1322.4599609375,1325.5799560546875,1319.06005859375,1322.4599609375
2018-02-20,1323.3199462890625,1327.75,1321.260009765625,1322.3199462890625
2018-02-21,1323.760009765625,1326.010009765625,1318.449951171875,1322.9300537109375
2018-02-22,1321.6700439453125,1332.030029296875,1321.6700439453125,1319.8499755859375
2018-02-23,1330.4599609375,1330.47998046875,1321.6800537109375,1331.219970703125
2018-02-26,1322.510009765625,1322.510009765625,1314.02001953125,1294.148681640625
2018-02-27,1317.800048828125,1322.5899658203125,1314.22998046875,1316.989990234375
2018-02-28,1319.3800048828125,1323.8699951171875,1316.1300048828125,1321.1500244140625
2018-03-01,1323.030029296875,1324.550048828125,1317.1199951171875,1322.969970703125
2018-03-02,1326.9000244140625,1335.030029296875,1319.449951171875,1327.449951171875
2018-03-05,1328.719970703125,1332.0400390625,1325.1300048828125,1328.719970703125
2018-03-06,1327.010009765625,1328.239990234375,1314.699951171875,1327.989990234375
2018-03-07,1322.800048828125,1328.1300048828125,1320.43994140625,1319.9000244140625
2018-03-08,1322.300048828125,1330.1300048828125,1320.949951171875,1323.1400146484375
2018-03-09,1320.1099853515625,1320.1099853515625,1308.72998046875,1320.780029296875
2018-03-12,1309.43994140625,1314.6700439453125,1308.469970703125,1309.43994140625
2018-03-13,1311.47998046875,1316.75,1310.68994140625,1312.25
2018-03-14,1321.3399658203125,1322.9000244140625,1311.3499755859375,1321.2099609375
2018-03-15,1315.3800048828125,1320.27001953125,1312.1199951171875,1314.449951171875
2018-03-16,1314.449951171875,1317.3499755859375,1308.8499755859375,1314.969970703125
2018-03-19,1314.0699462890625,1321.3900146484375,1311.780029296875,1314.0699462890625
2018-03-20,1321.9100341796875,1323.5,1312.3399658203125,1322.72998046875
2018-03-21,1310.449951171875,1316.469970703125,1310.010009765625,1310.8900146484375
2018-03-22,1314.06005859375,1329.8399658203125,1314.06005859375,1313.3900146484375
2018-03-23,1331.449951171875,1336.489990234375,1325.6300048828125,1330.8499755859375
2018-03-25,1300.7047119140625,1341.4599609375,1300.7047119140625,1337.4000244140625
2018-03-26,1337.8299560546875,1338.1300048828125,1326.6800537109375,1338.0
2018-03-27,1331.489990234375,1332.5899658203125,1311.81005859375,1332.3699951171875
2018-03-28,1310.5999755859375,1314.8699951171875,1303.300048828125,1308.5400390625
2018-03-29,1306.219970703125,1306.219970703125,1306.219970703125,1306.219970703125
